,City,Country,Date,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
371,Lapeer,US,1584499335,43.05,-83.32,35.87,80,1,3.91
372,Katherine,AU,1584499178,-14.47,132.27,91.4,46,0,9.17
373,Harper,LR,1584499335,4.38,-7.72,76.48,95,100,3.44
374,Suez,EG,1584499335,29.97,32.53,50.9,62,0,7.43
375,Pampa,US,1584499335,35.54,-100.96,52.63,93,90,9.17
376,Juneau,US,1584499271,58.3,-134.42,41.77,48,75,4.7
377,Villarrica,PY,1584499335,-25.75,-56.43,82.6,56,85,4.29
378,San Isidro,PE,1584499335,-12.12,-77.05,73.4,78,100,12.75
379,Soc Trang,VN,1584499336,9.6,105.98,84.2,74,75,8.05
380,Yegorlykskaya,RU,1584499336,46.57,40.66,34.41,66,93,9.62
381,Vikulovo,RU,1584499336,56.82,70.61,27.57,86,100,14.25
382,Xinzhi,CN,1584499336,36.5,111.7,61.03,10,0,12.15
383,Los Llanos de Aridane,ES,1584499336,28.66,-17.92,59.0,87,40,17.22
384,Eluru,IN,1584499093,16.7,81.1,78.8,78,75,3.0
385,Lagoa,PT,1584499336,39.05,-27.98,62.22,82,19,13.76
386,Bobo-Dioulasso,BF,1584499336,11.18,-4.3,78.8,78,40,6.93
387,Ahipara,NZ,1584499336,-35.17,173.17,64.04,68,0,20.07
388,Hobyo,SO,1584499336,5.35,48.53,76.89,79,95,10.85
389,Finschhafen,PG,1584499337,-6.6,147.87,81.21,82,47,16.4
390,Codrington,AU,1584499337,-38.27,141.97,65.68,66,100,14.25
391,Beloha,MG,1584499337,-25.17,45.05,66.74,88,44,9.35
392,Barranca,PE,1584499427,-10.75,-77.77,73.54,87,100,13.82
393,Gorontalo,ID,1584499213,0.54,123.06,89.24,55,20,4.16
394,Road Town,VG,1584499379,18.42,-64.62,76.1,83,90,5.82
395,Weligama,LK,1584499427,5.97,80.42,81.48,64,100,10.09
396,Clyde River,CA,1584499427,70.47,-68.59,-18.4,75,90,14.99
397,Narsaq,GL,1584499428,60.92,-46.05,2.48,55,77,8.3
398,Roswell,US,1584499260,34.02,-84.36,57.31,87,20,2.66
399,Belaya Gora,RU,1584499428,68.53,146.42,-5.58,86,72,9.46
400,Kushmurun,KZ,1584499428,52.45,64.63,17.65,90,0,7.02
401,Port Lincoln,AU,1584499428,-34.73,135.87,79.5,29,100,7.96
402,Ossora,RU,1584499428,59.24,163.07,20.7,83,100,17.27
403,Kailua,US,1584499321,21.4,-157.74,70.39,78,75,4.7
404,Tongren,CN,1584499428,27.72,109.19,61.21,68,62,0.67
405,Menongue,AO,1584499428,-14.66,17.69,63.01,98,100,3.83
406,Ponta do Sol,PT,1584499428,32.67,-17.1,58.55,67,20,18.34
407,Arman',RU,1584499428,59.7,150.17,13.23,77,94,2.77
408,Iqaluit,CA,1584499429,63.75,-68.51,15.42,85,90,9.17
409,Isla Mujeres,MX,1584499429,21.23,-86.73,78.39,74,20,6.93
410,Paamiut,GL,1584499429,61.99,-49.67,13.24,55,100,15.95
411,Sioux Lookout,CA,1584499429,50.1,-91.92,19.09,48,40,3.87
412,Agüimes,ES,1584499429,27.91,-15.45,60.89,72,75,14.99
413,Portland,US,1584499247,45.52,-122.68,52.57,41,75,3.33
414,Lebu,CL,1584499429,-37.62,-73.65,53.89,94,0,5.55
415,Benemérito de las Américas,MX,1584499429,16.52,-90.64,73.02,78,0,3.36
416,Santa Maria,BR,1584499429,-29.68,-53.81,73.4,83,67,12.75
417,Kumul,CN,1584499429,42.8,93.45,52.03,17,0,5.7
418,Lakhtinskiy,RU,1584499430,59.99,30.16,38.46,86,90,8.95
419,Korla,CN,1584499430,41.76,86.15,45.03,24,99,1.1
420,Gogrial,SS,1584499430,8.53,28.1,76.95,22,97,4.18
421,Udachny,RU,1584499430,66.42,112.4,-9.4,57,0,6.71
422,Maniitsoq,GL,1584499430,65.42,-52.9,17.89,63,100,24.29
423,Mayumba,GA,1584499430,-3.43,10.66,81.61,84,100,8.61
424,Gushikawa,JP,1584499172,26.35,127.87,70.14,56,90,9.17
425,Bam,IR,1584499430,29.11,58.36,65.66,24,17,3.06
426,Ponnāni,IN,1584499431,10.77,75.93,77.0,83,20,4.7
427,Balfron,GB,1584499431,56.07,-4.34,40.59,80,99,13.87
428,Yinchuan,CN,1584499143,38.47,106.27,56.25,12,45,10.98
429,Palmas,BR,1584499384,-10.21,-48.36,78.8,88,20,4.7
430,Roald,NO,1584499431,62.58,6.13,34.95,69,100,18.34
431,Hanzhong,CN,1584499431,33.07,107.03,63.37,36,43,3.78
432,Hachinohe,JP,1584499431,40.5,141.5,46.4,48,40,20.8
433,Vyartsilya,RU,1584499431,62.18,30.69,35.98,90,82,10.56
434,Abhā,SA,1584499431,18.22,42.51,62.6,82,40,10.29
435,Grand-Santi,GF,1584499431,4.25,-54.38,76.44,75,24,4.63
436,Kangundo,KE,1584499431,-1.3,37.35,64.4,93,75,8.05
437,Meadow Lake,US,1584499432,34.8,-106.54,58.84,15,1,14.99
438,Gold Coast,AU,1584499432,-28.0,153.43,81.01,54,40,12.75
439,Bāfq,IR,1584499432,31.61,55.41,61.16,37,46,8.14
440,Nyurba,RU,1584499432,63.28,118.33,-2.51,83,90,3.4
441,Pendleton,US,1584499522,45.67,-118.79,42.46,70,1,10.29
442,Flinders,AU,1584499522,-34.58,150.86,76.28,41,0,8.05
443,Pangai,TO,1584499522,-19.8,-174.35,84.2,89,75,8.05
444,Tongliao,CN,1584499522,43.61,122.27,54.03,32,55,16.89
445,Biak,ID,1584499523,-0.91,122.88,82.27,73,52,4.43
446,Skjervøy,NO,1584499523,70.03,20.97,37.18,74,81,15.86
447,Meulaboh,ID,1584499523,4.14,96.13,81.55,73,93,6.46
448,Oga,IT,1584499523,46.46,10.35,32.61,92,1,1.12
449,Biltine,TD,1584499523,14.53,20.92,72.37,14,100,14.65
450,Nelson Bay,AU,1584499523,-32.72,152.15,76.12,56,40,5.82
451,Kabalo,CD,1584499523,-6.05,26.92,68.85,99,100,2.73
452,Liverpool,GB,1584499252,53.41,-2.98,48.81,93,75,16.11
453,Mato Verde,BR,1584499524,-15.4,-42.87,71.71,85,83,2.28
454,Hakui,JP,1584499524,36.88,136.78,56.25,50,40,9.17
455,Lavrentiya,RU,1584499524,65.58,-171.0,29.41,82,65,14.97
456,Qui Nhon,VN,1584499431,13.77,109.23,81.0,63,87,2.95
457,Tibiri,NE,1584499524,13.56,7.05,74.17,8,51,9.01
458,Ibirama,BR,1584499524,-27.06,-49.52,72.54,94,88,2.26
459,Darlawn,IN,1584499524,24.02,92.9,68.0,68,0,2.51
460,Chunskiy,RU,1584499524,56.08,99.63,21.34,79,100,10.67
461,Qarayeri,AZ,1584499524,40.79,46.31,37.4,93,90,6.93
462,Qian’an,CN,1584499524,44.99,124.06,47.59,36,100,11.92
463,Laas,IT,1584499525,46.62,10.7,34.79,92,4,1.12
464,Adrar,MR,1584499525,20.5,-10.07,63.63,29,39,10.38
465,Eureka,US,1584499254,40.8,-124.16,45.27,81,90,4.7
466,Tiarei,PF,1584499525,-17.53,-149.33,87.8,66,75,5.82
467,Jacksonville Beach,US,1584499500,30.29,-81.39,70.16,94,90,4.7
468,Alofi,NU,1584499525,-19.06,-169.92,86.0,74,40,12.75
469,Kaeo,NZ,1584499525,-35.1,173.78,70.05,56,0,8.01
470,Sangar,RU,1584499525,63.92,127.47,-7.29,96,95,11.12
471,Tromsø,NO,1584499525,69.65,18.96,34.97,91,75,23.04
472,Bilma,NE,1584499525,18.69,12.92,70.11,10,0,8.79
473,Ambulu,ID,1584499526,-8.35,113.61,82.02,73,23,3.11
474,Sarlat-la-Canéda,FR,1584499526,44.89,1.22,42.19,100,0,4.7
475,Palamós,ES,1584499526,41.85,3.13,49.05,100,31,2.21
476,Ialibu,PG,1584499526,-6.28,143.99,73.4,64,40,4.7
477,Río Gallegos,AR,1584499526,-51.62,-69.22,51.8,57,0,9.17
478,Lincoln,US,1584499526,40.8,-96.67,43.11,81,90,9.17
479,Merced,US,1584499526,37.17,-120.75,48.24,87,1,5.82
480,Cache Creek,CA,1584499503,50.81,-121.32,43.84,43,1,8.05
481,Araripe,BR,1584499526,-7.21,-40.05,70.41,96,99,1.21
482,Qinhuangdao,CN,1584499527,39.93,119.59,63.68,21,63,10.07
483,Ţahţā,EG,1584499527,26.77,31.5,56.3,47,0,21.92
484,Millinocket,US,1584499527,45.66,-68.71,32.31,86,75,6.06
485,Elizabeth City,US,1584499527,36.29,-76.25,56.17,93,1,8.77
486,Maceió,BR,1584499265,-9.67,-35.74,78.8,88,75,2.24
487,Solsona,ES,1584499527,41.99,1.52,46.13,84,63,4.0
488,Waddān,LY,1584499527,29.16,16.14,58.78,55,100,19.35
489,Hvide Sande,DK,1584499527,56.0,8.13,48.34,93,100,23.04
490,Burnie,AU,1584499617,-41.07,145.92,67.01,76,100,1.01
491,Marquette,US,1584499618,46.53,-87.63,23.95,73,1,4.18
492,Qinzhou,CN,1584499618,21.95,108.62,66.06,78,96,4.81
493,Shizunai-furukawachō,JP,1584499618,42.33,142.37,39.63,79,91,6.02
494,Makakilo City,US,1584499618,21.35,-158.09,70.32,100,40,5.82
495,San Cristobal,VE,1584499618,7.77,-72.22,82.4,61,40,4.7
496,Cockburn Town,TC,1584499504,21.46,-71.14,75.29,75,19,18.05
497,Pacifica,US,1584499618,37.61,-122.49,48.06,76,1,2.24
498,Ilulissat,GL,1584499619,69.22,-51.1,6.8,46,97,21.92
499,Belmonte,BR,1584499619,-15.86,-38.88,80.6,78,40,5.82
500,Kununurra,AU,1584499619,-15.77,128.73,95.0,44,0,8.05
501,Jesup,US,1584499619,31.61,-81.89,68.5,83,40,3.18
502,Awjilah,LY,1584499619,29.11,21.29,54.45,46,0,8.81
503,Puerto Nariño,CO,1584499619,-3.77,-70.38,80.6,94,40,3.36
504,Benghazi,LY,1584499619,32.12,20.07,53.78,60,0,15.5
505,Pskov,RU,1584499620,57.81,28.35,35.6,80,98,4.47
506,Ketchikan,US,1584499620,55.34,-131.65,45.46,87,1,17.22
507,Sary-Tyuz,RU,1584499620,43.9,41.9,24.57,80,100,6.24
508,Cristóbal Obregón,MX,1584499620,16.35,-93.53,80.6,61,40,18.34
509,Pointe-Noire,CG,1584499620,-4.78,11.86,78.8,94,20,4.7
510,Staryy Nadym,RU,1584499620,65.61,72.68,11.19,87,0,16.06
511,Lanzhou,CN,1584499620,36.06,103.79,48.2,14,82,2.24
512,Palo Negro,VE,1584499620,10.17,-67.54,66.92,71,71,4.92
513,Lompoc,US,1584499620,34.64,-120.46,49.86,58,20,5.82
514,Baruun-Urt,MN,1584499620,46.68,113.28,24.67,71,59,14.94
515,Oyama,JP,1584499621,36.3,139.8,61.3,19,20,17.22
516,Kulhudhuffushi,MV,1584499621,6.62,73.07,84.52,75,100,17.13
517,Muisne,EC,1584499621,0.6,-80.03,76.03,89,96,3.02
518,Novoagansk,RU,1584499621,61.94,76.66,23.09,93,100,19.1
519,São Gabriel da Cachoeira,BR,1584499621,-0.13,-67.09,74.68,96,100,2.66
520,Caxito,AO,1584499621,-8.58,13.66,74.39,94,100,4.38
521,Shahjahanpur,IN,1584499621,27.88,79.92,68.97,59,0,8.95
522,Daoukro,CI,1584499621,7.06,-3.96,74.71,93,94,3.31
523,Emerald,AU,1584499621,-23.53,148.17,82.69,37,0,12.75
524,Arroyo de la Encomienda,ES,1584499621,41.61,-4.8,45.86,93,0,6.93
525,Saint-Joseph,RE,1584499622,-21.37,55.62,71.28,88,90,6.93
526,Constitución,CL,1584499622,-35.33,-72.42,53.94,89,0,5.7
527,Pinerovka,RU,1584499622,51.56,43.07,31.35,64,8,6.17
528,Cachoeirinha,BR,1584499622,-29.95,-51.09,69.58,94,19,9.17
529,Paranaíba,BR,1584499525,-19.68,-51.19,73.22,84,63,1.74
530,Zhigansk,RU,1584499622,66.77,123.37,-22.13,90,0,9.28
531,Pochutla,MX,1584499622,15.74,-96.47,82.4,65,75,10.87
532,Shimoda,JP,1584499622,34.67,138.95,62.74,34,20,12.75
533,Boqueirão,BR,1584499622,-7.5,-36.13,75.2,94,75,6.93
534,Melk,AT,1584499622,48.23,15.33,41.83,83,55,4.0
535,Abu Dhabi,AE,1584499623,24.47,54.37,74.26,56,0,13.87
536,Lishui,CN,1584499597,28.46,119.91,65.68,64,94,2.21
537,Mandalgovi,MN,1584499623,45.76,106.27,25.3,41,0,16.35
538,Shingū,JP,1584499623,33.73,135.98,62.6,39,40,12.75
539,Malakal,SS,1584499713,9.53,31.66,73.54,19,41,4.61
540,Morehead,US,1584499713,37.27,-87.18,47.16,87,1,4.61
541,Rodrigues Alves,BR,1584499713,-7.74,-72.65,70.74,99,100,1.32
542,The Valley,AI,1584499713,18.22,-63.06,78.44,74,20,8.05
543,Zhoucheng,CN,1584499713,35.91,116.31,70.88,22,0,11.01
544,Homer,US,1584499713,59.64,-151.55,33.69,80,90,2.26
545,Dubbo,AU,1584499596,-32.25,148.62,77.0,38,0,4.7
546,Keetmanshoop,NA,1584499714,-26.58,18.13,73.4,64,53,8.05
547,Mbaïki,CF,1584499714,3.87,17.99,74.03,73,89,3.42
548,Bulancak,TR,1584499714,40.94,38.23,37.4,86,75,2.24
549,Tūkrah,LY,1584499714,32.53,20.58,50.29,73,0,14.18
550,Huilong,CN,1584499714,31.81,121.66,73.0,51,12,3.0
551,Mount Gambier,AU,1584499714,-37.83,140.77,86.0,25,40,14.99
